Era,Name,Notes,Designer,Date,Art,Art Type,Use,Link(s)
COMPILATION OF ORIGINAL UNCROPPED ARTWORKS X USED,,,,,,,,
"NSFW WARNING
(This section contains nudity & disturbing imagery).",,,,,,,,
CD MIxtape,Unknown,An image X created and edited himself. Unknown if he planned to use it for a song cover.,XXXTENTACION,,,Other,No,/xgold/art/unknown.jpg
CD MIxtape,News,"A selfie from 2013. Unknown where it is from. Similar to his Tumblr pictures at the time, but he probably only used it for SoundCloud.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/news.jpg
CD MIxtape,News/Flock,"Sungwon's ""This is my contribution to The Gioconda Project - a non-profit artistic experiment showcasing high quality artwork from artists known or anonymous from all over the globe with their own interpretation of the world's most popular painting - Mona Lisa or ""La Gioconda"".
",Sungwon,,,Front Cover,Yes,/xgold/art/news-flock.jpg
CD MIxtape,"Ruff neck (snippet), 21 (acapella), 1998 (acapella) & the end is nigh *dirty* *acapella*",The artwork for these tracks were the same and are lost due to SoundCloud wiping its avatar links.,Unknown,,N/A,Lost,Yes,https://i1.sndcdn.com/avatars-000058910386-cncgrz-t500x500.jpg
CD MIxtape,Mona Lisa [Cover 2],"An alternative cover art for the scrapped mixtape ""Mona Lisa"". Created by X?",XXXTENTACION,,,Alternative,No,/xgold/art/mona-lisa-cover-2.jpg
XXX (UNMASTERED),SDS *Snippet,"This is an erotic game by Kaneshiro that turned later into a hentai by Raika Ken produced in T-Rex Studios - ""Dekakute Ecchi na Ore no Ane (My Big And Horny Sisters)"".",Kaneshiro,,,Front Cover,Yes,/xgold/art/sds-snippet.jpg
XXX (UNMASTERED),Whores On The Boards,"This is an erotic game by Kaneshiro that turned later into a hentai by Raika Ken produced in T-Rex Studios - ""Dekakute Ecchi na Ore no Ane (My Big And Horny Sisters)"".",Kaneshiro,,,Front Cover,Yes,/xgold/art/whores-on-the-boards.jpg
XXX (UNMASTERED),$l0w,An image of Madara Uchiha from Naruto.,Masashi Kishimoto,,,Front Cover,Yes,/xgold/art/l0w.jpg
XXX (UNMASTERED),Palm Trees,"From a Daisuke Nishio movie that was released in February 24th, 1993. The cover art for ""Palm Trees"" appears on 5:20, being the house of the character Master Roshi.",Daisuke Nishio,,,Front Cover,Yes,/xgold/art/palm-trees.jpg
XXX (UNMASTERED),XXX *unfinished*,"A black-and-white photo of what seems to being a man holding a woman hostage, but it just a shooting range target.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/xxx-unfinished.jpg
XXX (UNMASTERED),$LUMPED WHIP (SNIPPET UNMASTERED,"Nyora Spouse's baby picture. It's unknown the day it was taken. We don’t have the full 
Florida map in the background, though we know it was made by Real Pro Group Inc. in 2012.",Nyora Spouse,,,Front Cover,Yes,/xgold/art/lumped-whip-snippet-unmastered.jpg
XXX (UNMASTERED),Breathe Slow,"Nyora Spouse's baby picture. It's unknown the day it was taken. We don’t have the full 
Florida map in the background, though we know it was made by Real Pro Group Inc. in 2012.",Nyora Spouse,,,Front Cover,Yes,/xgold/art/breathe-slow.jpg
XXX (UNMASTERED),M011Y,"Vice City is the fourth main entry in the Grand Theft Auto series, released in October 29th, 2002. It was developed by Rockstar North and published by Rockstar Games. The car being used in the game is the Grotti Cheetah Classic and X found it on the images of the Vice City game on the Play Store.",Rockstar,,,Front Cover,Yes,/xgold/art/m011y.jpg
XXX (UNMASTERED),GANG CYPHER *FREESTYLE*,"Ryan Lorence was a member of the Benchill Mad Dogs that made a gun gesture to David Cameron who served as Prime Minister of the United Kingdom. Ryan Florence became famous and Stuart Mason decided to do a photoshoot with the teenagers of the gang that took place in Benchill, Manchester.",Stuart Mason,,,Front Cover,Yes,/xgold/art/gang-cypher-freestyle.jpg
XXX (UNMASTERED),Jehovah *Freestyle* *Acapella*,The artwork for this track is lost.,Unknown,,N/A,Lost,Yes,Unknown
XXX (UNMASTERED),al.one*,"From the anime Sailor Moon, written by Naoko Takeuchi and released at the end of 1991. This episode is from Season 1, released on August 1st, 1992, with the title ""The Summer, the Beach, Youth and Ghosts"". The cover art appears at 3:55.",Naoko Takeuchi,,,Front Cover,Yes,/xgold/art/al-one.jpg
XXX (UNMASTERED),vice city,"Vice City is the fourth main entry in the Grand Theft Auto series, released in October 29th, 2002. It was developed by Rockstar North and published by Rockstar Games. The car being used in the game is the Grotti Cheetah Classic and X found it on the images of the Vice City game on the Play Store.",Rockstar,,,Front Cover,Yes,/xgold/art/vice-city.jpg
XXX (UNMASTERED),vice city [Cover 2],"Slighly better quality version of the cover art used in the 2022 re-release of the song,",Rockstar,,,Front Cover,Yes,/xgold/art/vice-city-cover-2.jpg
XXX (UNMASTERED),THE END IS NIGH,An image of woman doing lines. The original is a stock image.,XXXTENTACION,,,Front Cover,Yes,/xgold/art/the-end-is-nigh.jpg
XXX (UNMASTERED),M011Y *FREESTYLE* *SLOPPED*,"A Bathing Ape is a Japanese fashion brand founded by Nigo on April 1st, 1993. This exact model of Bape was released on April 24th, 2000.
Wallpapers were inspired by this model and the cover art was probably used from one of them.",Nigo,,,Front Cover,Yes,/xgold/art/m011y-freestyle-slopped.jpg
XXX (UNMASTERED),DEAD,"The Town is a movie released in September 2010 directed by Ben Affleck adapted from Chuck Hogan's 2004 novel Prince of Thieves.
The cover art appears at 1:08:45 being it Ben Affleck wearing a nun mask ready to steal a armored truck.",Ben Affleck,,,Front Cover,Yes,/xgold/art/dead.jpg
Ice Hotel,DUTTY [Upload 1],Artwork for this track is lost.,Unknown,,N/A,Lost,Yes,Unknown
Ice Hotel,(VERYRAREBOYZ),"Not much is known about this picture only that the kid in the pic is Russian and the last time the picture was seen was in 2016 uploaded with the title ""schoolboy-terror.jpg"" ro the site warosu.org",Unknown,,,Front Cover,Yes,/xgold/art/veryrareboyz.jpg
Ice Hotel,DUTTY [Upload 2],"Still taken from A$AP Ferg's ""Shabba"" music video at exactly 3:13 in the video.",A$AP Ferg,,,Front Cover,Yes,/xgold/art/dutty-upload-2.jpg
Ice Hotel,FUCK V2,"Nyora Spouse picture as a teenager posted on Twitter in March 07, 2014 and later used by X. https://twitter.com/NyoraSpouse/status/441757815217340416",Nyora Spouse,,,Front Cover,Yes,/xgold/art/fuck-v2.jpg
Ice Hotel,Blood Stains,"This picture by Joe Klamar was taken in May 28, 2011 in a fight that took place in Banska Bystrica a region in Slovakia. The 2 fighters were Ján Mazúr and Jakub Gazdík being Ján the person appearing in the cover art being him to lose the fight to Jakub.",Drugz,,,Front Cover,Yes,/xgold/art/blood-stains.jpg
Ice Hotel,HUNNID,"This particular episode of The Simpsons from the 11th season released in October 24th, 1999 and the cover art appears at 8:08 being Lisa Simpson with her tougue out looking out of her mind.",Matt Groening,,,Front Cover,Yes,/xgold/art/hunnid.jpg
Ice Hotel,0C3AN *clip*,"Fox News was covering a high-speed chase that began in Phoenix, Arizona, using a live helicopter shot in September 28, 2012.  The anchor Shepard Smith was the person talking in the video when he saw JoDon Romero with 32 years old killing himself after he stopped the car chase.",Fox News,,,Front Cover,Yes,/xgold/art/0c3an-clip.jpg
Ice Hotel,ICY,"Image of actress Morrigan Sanders, She was a regular model for photographer Oleg Volk and has appeared in numerous print PSAs in local and national American magazines.The cover art photo was taken by Oleg Volk and was taken when she was 9 years old in 2011 for a Firearms Magazine.",Oleg Volk,,,Front Cover,Yes,/xgold/art/icy.jpg
Ice Hotel,Felonies,Artwork for this track is lost.,Unknown,,N/A,Lost,Yes,Unknown
Ice Hotel,Kick In The Door,"This hentai of the Dragonball Z series was made by french artist Desto and was made in 2008 being released in Desto website Parodie Paradise.
We can see the cover art used by X at 3:30.",Desto,,,Front Cover,Yes,/xgold/art/kick-in-the-door.jpg
Ice Hotel,cum,"Image of a forest with the words ""cum"" in Rocky AOE font. Forest location is unknown.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/cum.jpg
Ice Hotel,Catch Me,Photo of Ski Mask with a skull mask on taken in 2014.,Ski Mask,,,Front Cover,Yes,/xgold/art/catch-me.jpg
Ice Hotel,INUYASHA,Inuyasha from Inuyashas. Parental advisory sign is cut off.,,,,Front Cover,Yes,/xgold/art/inuyasha.jpg
Ice Hotel,ICE HOTEL (intro),The Ice King's ice castle from Adventure Time.,Cartoon Network,,,Front Cover,Yes,/xgold/art/ice-hotel-intro.jpg
Ice Hotel,ICE HOTEL EP,"Gothic fantasy or Expiatory temple is a piece of digital artwork by George Grie. This image was initially inspired by the Expiatory Temple of the Sagrada Familia, the yet unfinished masterpiece of the world's most celebrated architect from Catalonia, Antonio Gaudi.",George Grie,,,Front Cover,Yes,/xgold/art/ice-hotel-ep.jpg
e.motion,3 AM freestyle,Artwork for this track is lost. Doesnt use the one we know as that image was created after this upload.,Unknown,,N/A,Lost,Yes,Unknown
e.motion,ecstasy,"19 year old Nebraska woman who stole $6000 from a bank in 2012. After the crime she immediately posted a video to YouTube titled ""Chick Bank Robber"" where she held bundles of cash up to the camera and bragged about what she'd done. She was caught the same day.",Hannah Sabata,,,Front Cover,Yes,/xgold/art/ecstasy.jpg
e.motion,e.motion,Graphic that anyone could've made. Finding the origin would be as hard as finding a needle in a haystack.,???,,,Front Cover,Yes,/xgold/art/e-motion.jpg
e.motion,hoe,Still taken from a 2002 porn video featuring a woman named Sara.,Ray Guhn,,,Front Cover,Yes,/xgold/art/hoe.jpg
e.motion,3 AM (freestyle) [Upload 2],"Image of X he took himself, Most likely taken on his laptops webcam. Unknown how he made himself green. Most likely just a filter. There is an alternate one without the green.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/3-am-freestyle-upload-2.jpg
e.motion,ok (freestyle),"Image of Joana Linda posted to her Flickr Jan 1st, 2012",Joana Linda,,,Front Cover,Yes,/xgold/art/ok-freestyle.jpg
e.motion,???,"Uses Rocky AOE font and the full image features the ""catch"" cover art in all the corners.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/.jpg
e.motion,elegant,Still taken from the Napoleon Dynamite film from 2004. Has the character Pedro sitting in a bathtub. Very low quality.,Jared Hess,,,Front Cover,Yes,/xgold/art/elegant.jpg
e.motion,tokyo nostalgia,Origin for this cover art is NEEDED like baaaaddd,,,,Front Cover,Yes,/xgold/art/tokyo-nostalgia.jpg
e.motion,sounds of the melting pot,,,,,Front Cover,Yes,/xgold/art/sounds-of-the-melting-pot.jpg
e.motion,sounds of the melting pot [Cover 2],,,,,Front Cover,Yes,/xgold/art/sounds-of-the-melting-pot-cover-2.jpg
e.motion,john carpenter,,John Carpenter,,,Front Cover,Yes,/xgold/art/john-carpenter.jpg
e.motion,catch,"Cover art is most likely inspired by Drake's track ""Days In The East"". Uses one of the corners from ""???""'s full cover art.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/catch.jpg
e.motion,Bluddy Katon freestyle,"Still taken from the game ""Manhunt"" by Rockstar Games",Rockstar,,,Front Cover,Yes,/xgold/art/bluddy-katon-freestyle.jpg
e.motion,Who The Fuck Is God,,,,,Front Cover,Yes,/xgold/art/who-the-fuck-is-god.jpg
THE NOBODYS,The Shuttle,"Image of a man with ""NOBODYS"" tatted on his neck. X took this from ???'s tumblr page.",,,,Front Cover,Yes,/xgold/art/the-shuttle.jpg
THE NOBODYS,NOBODYS (Intro),"Image of a man with ""NOBODYS"" tatted on his neck. X took this from ???'s tumblr page.",,,,Front Cover,Yes,/xgold/art/nobodys-intro.jpg
THE NOBODYS,zones,,,,,Front Cover,Yes,/xgold/art/zones.jpg
THE NOBODYS,sounds of the melting pot (YXXXNZ TWIST),,,,,Front Cover,Yes,/xgold/art/sounds-of-the-melting-pot-yxxxnz-twist.jpg
