Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
TOTAL,"$47,288",,,,,,,,,
2024,,?,difference (Full) & Jocelyn Flores (Voice Memo),"difference (Full)
Jocelyn Flores (Voice Memo)
Ski Mask The Slump God - Untitled (feat. Solo)
Ski Mask The Slump God - Thors Hammer Worthy (Demo)
Ski Mask The Slump God - Wtf!? (Demo) + Og File
Ski Mask The Slump God - SkiMeetsWorld (Demo)
Ski Mask The Slump God - Shibuya (OG) [with 458 Keez]",$2.500,"June 18th, 2024",,,Yes,
2024,,KIDS,Gnarly Freestyle!,"Gnarly Freestyle!
Ski Mask The Slump God - Ski Rick
Obsessed (Full Video)
Should Have Known (Full Video)
Dead Inside Part 2 [V2]
Various Pics & Vidoes
Various OG Files","$13,500","April 4th, 2024",,,Yes,
2023,,?,X & Ski Bundle #2,"My Oh My (Voice Memo)
Slatt (Ski Mask x Lil Pump)
Hope (Stems)","$1,600","September 6th, 2023",,,Yes,
2023,,Multi-Era,Depression & Obession (Voice Memo),"SAD! (Stems)
Forever (X x Vybz Kartel)
OOGA BOOGA! (Ski Mask) (Music Video)","$2,200","May 14th, 2023",,,Yes,
2023,,Multi-Era,$LUMPED WHIP / XXXTENTACION Bundle,"Palm Trees (Vocals)
A Nigga Like You (X x AuFlexGod) (V1) 
A Nigga Like You (X x AuFlexGod) (V2)
A Nigga Like You (X x AuFlexGod) (V3) 
Netflix & Chill (OG Version)
IWATCHEDHIMDROWN (OG Version)
RIP ROACH (V2)
IGOTPLENTYDICKTOSHARE (Open Verse)
A Nigga Like You (Instrumental)
Jah Jah (Instrumental) (June 15, 2013)
xanax (Instrumental) (May 10, 2014)
x6 Open Verses Sent To X (2014 - 2015)
x10 Instrumentals Sent To X (2014 - 2015)","$3,000","January 28th, 2023",,,Yes,
2022,,KIDS,Gnarly Freestyle!,Gnarly Freestyle!,"$15,000","September 25th, 2022",,,No,
2022,,SKINS,Arms Around You (Skrillex Remix) + (Stems),"Arms Around You (Stems)
Arms Around You (Skrillex Remix)
x5 Arms Around You (Demos)","$1,000","June 23rd, 2022",,,Yes,
2021,,Bad Vibes Forever (2019),Dre Island - Carry My Cross,Carry My Cross (X x Dre Island),$600,"Feburary 10th, 2021",,,Yes,
2021,,Multi-Era,Shorty On 4 Legs + Heart Of Valor + Forever,"Shorty On 4 Legs (Open Verse)
Heart Of Valor
Forever (Demo)","$1,500","January 17th, 2021",,,Yes,
2021,,Multi-Era,DIE!,DIE! (X x Trippie Redd) (Demo),$800,"January 16th, 2021",,,Yes,
2020,,XXX (UNMASTERED),M011Y,M011Y *FREESTYLE* (OG / Unslopped),"$2,500","July 14th, 2020",,,Yes,
