Era,Name,Notes,Copy Length,File Date,Available Length,Quality,Link(s)
,"Before The College Dropout
(Get Well Soon..., I'm Good..., Kon The Louis Vuitton Don)","(06/08/1977) (Kanye West is born in Atlanta)
(08/18/2002) (Kanye announces he signed to Roc-A-Fella)",,,"Before Kanye released his first album to critical acclaim in 2004, he pursued many other projects, including a rap trio group named the ""Go Getters"" and production for other rappers, including, but not limited to JAY-Z, Common, Talib Kweli, and Scarface. Two years before the release of The College Dropout, Kanye began releasing a series of mixtapes to generate hype and publicity for the eventual release of his first album. Kanye eventually signed with Roc-A-Fella records in August 2002.",,
Before The College Dropout,KANYE'S BEATS SEPT. 97',Beat tape from September 1997.,14:42,Sep 1997,Full,High Quality,https://pillows.su/f/250b3778deb71ec177986796b49b47f0
Before The College Dropout,2001 Beat CD 1,"Beat CD from 2001, possibly made even earlier. Features 26 beats with some being released and some being repurposed into familiar songs. Given to rapper Hot Karl in 2001, who re-discovered it in his garage and leaked it online in 2011 as Hype Men Present: Kanye West's First Beats Disc 1.",1:08:49,,Full,High Quality,https://pillows.su/f/14ce4d59e572866fb0c4af310ff5db04
Before The College Dropout,2001 Beat CD 2,"Another beat CD from 2001, possibly made even earlier. Features 19 beats. Also given to rapper Hot Karl in 2001, who re-discovered it in his garage and leaked it online in 2011 as Hype Men Present: Kanye West's First Beats Disc 2.",48:15,,Full,High Quality,https://pillows.su/f/2a3ea0802f4ff5a4595adc4c4fb19641
Before The College Dropout,2001 Demo Tape,Demo tape from 2001. Leaked in 2013 under the name The Prerequisite.,47:52,2001,Full,High Quality,https://pillows.su/f/fbb14a93b96f5f9d83423e63605630ab
,"The College Dropout
(I'm Good...)","(08/18/2002) (Kanye announces he signed to Roc-A-Fella)
(02/10/2004) (The College Dropout officially releases)",,,"Following his signing to Roc-A-Fella Records, Kanye released his debut studio album, The College Dropout. It features string arrangements, choirs, and his signature soul sampling, frequently branded as ""chipmunk soul"" for its sped-up and high-pitched nature. Contrary to the popular gangster-persona lyrics at the time, his songs mostly revolved around themes of family, materialism, religion, and racism. The inspiration for finally making his music came when he was in a near-fatal car crash.",,
The College Dropout,The College Dropout,"A very early version of The College Dropout that is composed of 15 tracks and 2 bonus tracks. Most of the songs were taken off the project. Likely early/mid 2003, since only a few songs were worked on further and there are a lot of instrumental tracks. Most of these songs found its way into the fan mixtapes series The Freshmen Adjustment.",53:03,2003,Full,CD Quality,https://pillows.su/f/7d83f3b0f2310144892a50e114700329
The College Dropout,The College Dropout,"Early copy leaked before the official release, featuring only 15 tracks.",56:03,,Full,CD Quality,https://pillows.su/f/c7b210bd276cbf756c96c0e988e05f97
The College Dropout,The College Dropout,"Entertainment Weekly review copy, mostly the same as release. Has a longer intro, ""All Falls Down"" with ther Ms. Lauryn Hill sample, ""School Spirit"" with explicit lines, a longer version of ""I'll Fly Away"", ""Last Call"" without JAY-Z and an extra synth, and ""We Don't Care (Reprise)"" which is missing from release entirely. Tagged.",1:19:09,,Tagged,Lossless,https://pixeldrain.com/u/4VrVMRBg
,808s & Heartbreak,"(09/11/2007) (Graduation officially releases)
(11/24/2008) (808s & Heartbreak officially releases)",,,"Following the death of his mother due to complications after cosmetic surgery, his relationship with fiancé Alexis Phifer finally ending for good, and a struggle to adapt to his celebrity status, Kanye felt emotionally drained and lost. Kanye dealt with his pain by channeling it into a sonically stripped-down album, one dominated by his use of the titular Roland TR-808 drum machine and Auto-Tune. This album significantly influenced future hip-hop music, having influenced Drake, Future, Travis Scott, and more.",,
