Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2026,"$71,485.00",Multi-Era,Ant Clemons VULTURES Bundle,"LIFESTYLE (with Ye verses)
2x LIFESTYLE (ref. Ant Clemons)
Promotion (ref. Ant Clemons)
Don't Kill The Party (ref. Ant Clemons)
Everything (feat. Ant Clemons)
Bad Bitch Playbook (ref. Ant Clemons)
Everybody (ref. CyHi)
2x Paid (ref. Ant Clemons)
Amazing (feat. Ant Clemons)","$3,300","Jun 17, 2026","Jun 28, 2026",Normal,Yes,"https://pillows.su/f/de381766f025be53c8ee1a34cfc3abfb
https://pillows.su/f/89263c3950a5f5727d9c5c8067e77869
https://pillows.su/f/056f8c2d6ed306abf65c6d28390b0615
https://pillows.su/f/c77272dde508ab6f37ca6971336b6716
https://pillows.su/f/b64b1d93246af07bfe54466724071652
https://pillows.su/f/dca28d28974e44c0bcac1c7f89888689
https://pillows.su/f/f17bf0bb172a7bd8d3f2c8d7d50015d8
https://pillows.su/f/6458e35bf41533ba70e579722337ff2c
https://pillows.su/f/f21c57af13a6d1c58310dbe42c3c4522"
2026,"$71,485.00",WAR,Rest Of Your Life,Rest Of Your Life (solo James Blake),$750,"Jun 7, 2026","Jun 10, 2026",Normal,Yes,https://pillows.su/f/b9393c5d3b8b130ee9e54f3745377b27
2026,"$71,485.00",Multi-Era,Tony Williams IN A PERFECT WORLD Bundle,"JESUS (ref. The WRLDFMS Tony Willaims)
JESUS (Tony Williams reference with AI)
SHE LOVES YE N JESUS (ref. The WRLDMS Tony Williams)
SHE LOVES YE N JESUS (Tony Williams reference with AI)
ALL IN LOVE (ref. The WRLDFMS Tony Willaims w/ added production)
UNCLE (rock rework with new lyrics; has AI vocals and unknown background vocals)
BEHOLD (ref. The WRLDFMS Tony Willaims)
BEHOLD (Tony Williams reference with AI; has Tony background vocals)
SISTERS BROTHERS (feat. King Combs w/ Tony AI)
DAMN (ref. The WRLDFMS Tony Willaims)
?x ""Misc Stuff"" (likely includes ""SHE LOVES YE N JESUS"" session)

(Editor Note: This buy is considered ""Multi-Era"" due to ""JESUS"" being recorded in Mallorca, Spain. It hasn't been confirmed how long sessions IAPW were done there, especially as CUCK was a separate project until the name change announcement.)","$1,700","Jun 2, 2026","Jun 4, 2026",Normal,Yes,"https://pillows.su/f/a9d362f052792cc3f72d059045434b6e
https://pillows.su/f/3ff23e0c202aba286229b54354ed8e2e
https://pillows.su/f/0e20a55ba328ffa7c7cdf31ca24e05dd
https://pillows.su/f/8966fda3469a0c462055893ddc48501c
https://pillows.su/f/db293e92c5aaad00fc8f459dc1898517
https://pillows.su/f/abfe106261c24382fcfbd69fbb3ab9c7
https://pillows.su/f/6a3fc446705cb756e8f5fdbdb00a58e6
https://pillows.su/f/07f1501934955a592b932359daa08b9e"
2026,"$71,485.00",Multi-Era,Lord I Need You Bundle,"Lord I Need You (new freestyle)
Lord I Need You (extra Ye and Tony vocals)
Lord I Need You (extra Tony vocals and ""abortion rant"" outro)
Lord I Need You (Buju Banton & SAINt JHN version)
Lord I Need You (ref. Tony Williams)
Lord I Need You (re-record using parts of ""Water Remix"")
Lord I Need You (Dem Jointz version)
Lord I Need You (ref. Conway The Machine)
?x Lord I Need You (ref. CyHi)
?x Lord I Need You (ref. Consequence)
Lord I Need You (ref. KayCyy)
Lord I Need You (iTunes tracklist version)
?x Lord I Need You (ref. Victory Boyd)
Lord I Need You (ref. Greg)
Lord I Need You (ref. The-Dream)
Lord I Need You (ref. Kei Landa)
Lord I Need You (prod. Francis and the Lights)
Lord I Need You (Ye recording over the Tony ref)
Lord I Need You (ref. Peter Collins)
Lord I Need You (ref. Israel Boyd)
Lord I Need You (version made for Dr. Dre)
Lord I Need You (ref. Really Doe)
Lord I Need You (feat. Travis Scott (background vocals))
Lord I Need You (Reuses verse from ""Welcome To My Life"")
?x Lord I Need You (Alt production)
?x Lord I Need You (stems + sessions)

AWAKENING BUNDLE [$1500 Paid]
Awakening (ref. Peter Collins) [$1500 Paid]
Awakening (prod. Federico Vindver) [$1500 Paid]
Awakening (New Kanye Freestyle) [$1500 Paid]
Awakening (Rebounces) [$1500 Paid]

BWIS BUNDLE
Believe What I Say (ref. Arrowstar) [$1500 Paid]
More Than Often (First Buju Banton version) [$1750 Paid]
Believe What I Say (ref. KayCyy) [$2000 Paid]
More Than Often (SAINt JHN freestyle) [$2250 Paid]
More Than Often (Original Ye Freestyle w/ SAINt JHN & Buju) [$2500 Paid]
Believe What I Say (Session) [$3000 Paid]

(TIMED BONUS) Gypsy (Ye Freestyle) [$2000 Paid]
(TIMED BONUS) Blind 2025 Song (2 BULLY voice memos) [$3000 Paid]","$3,000","Apr 29, 2026","May 16, 2026",Normal,Yes,
2026,"$71,485.00",God's Country,Fighting Fires Bundle,"My Soul (new freestyle)
3x Fighting Fires (new freestyle/alt prod)
Fighting Fires (re-record of the ""Jesus come and take control"" section)
Fighting Fires (studio voice memo)
Fighting Fires (ref. Lex James)
2x Fighting Fires (ref. Kaycyy)
Fighting Fires (ref. Rhymefest)
Fighting Fires (ref. Peter Collins)
Fighting Fires (ref. Anjolee)
Fighting Fires (ref. Calabasas)
2x Fighting Fires (Stems)
Fighting Fires (Pro Tools session)
33x Fighting Fires (alt prod/alt mixes)","$2,000","Apr 21, 2026","Apr 27, 2026",Normal,Yes,
2026,"$71,485.00",Multi-Era,All Dreams Real Bundle,"All Dreams Real (New JESUS IS KING era verse)
All Dreams Real (one verse only)
2x All Dreams Real (ref. Pusha T)
2x All Dreams Real (ref. CyHi)
All Dreams Real (ref. Sean Leon & J. Ivy)
All Dreams Real (ref. Consequence)
2x All Dreams Real (alt prod)
4x All Dreams Real (loop)","$1,200","Apr 16, 2026","Apr 18, 2026",Normal,Yes,"https://pillows.su/f/9f355bb24b006ef21d5bc066b2551137
https://pillows.su/f/8a5d36d00b38b9ede815d0de2d53b1db
https://pillows.su/f/e37586fc0f8817a7b1837846e119a09e"
2026,"$71,485.00",DONDA [V1],Precious Bundle,"Stay On Em/Precious (iTunes tracklist version)
Precious (iTunes tracklist version with SSC drummers)
Precious/Stay On Me (No punch-ins + re-recorded lines)
Precious/Stay On Em (more re-recorded lines)
Precious (more new lines + new sample)
Precious/Stay On Em (OG File that was renamed to ""With Child"")
Precious (ref. Ju Delgato)
Precious (6 minute freestyle)
Precious (Tank Barn freestyle 1)
Precious (Tank Barn freestyle 2)
Precious/Stay On Em (95% finished second verse)
Precious (OG beat)
Precious (OG Loop)
Precious (instrumental)
Precious (prod. EVAX)
Precious (Alt Mix)
New Years TL Version (Stems)","$3,000","Mar 20, 2026","Mar 27, 2026",Normal,Yes,"https://pillows.su/f/7f501d208dbfee1bc321cf3bf203198e
https://pillows.su/f/d153186446cfd079f8d4b92eb3b0e64e
https://pillows.su/f/ab16fa969c3ffe689c289a8c5d01488c"
2026,"$71,485.00",SWISH,Blind SWISH Song,???,$300,"Mar 16, 2026","Mar 20, 2026",Blind,No,
2026,"$71,485.00",Multi-Era,The Game - 40 Nights,"The Game - 40 Nights (feat. Kanye West)

PROMOTION (prod. ???)
Wake The Dead (ref. Really Doe)","$1,000","Mar 11, 2026","Mar 13, 2026",Normal,Yes,"https://pillows.su/f/6c4a595d1381ac6c852c3f00824854ea
https://pillows.su/f/4f98a6e1da553cbe4c8342b0f3965572"
2026,"$71,485.00",So Help Me God,How You Feeling,"How You Feeling

FIELD TRIP (Wes & Tay alt prod) [$1000 paid]","$1,200","Mar 6, 2026","Mar 7, 2026",Normal,Yes,"https://pillows.su/f/267f7e839e96579fb66a4e4a6550d5d5
https://pillows.su/f/c03da8b6372106604a950047d540ea43"
2026,"$71,485.00",So Help Me God,How You Feeling,How You Feeling,"$2,000","Mar 2, 2026","Mar 6, 2026",Normal,Reworked,"https://pillows.su/f/267f7e839e96579fb66a4e4a6550d5d5
https://pillows.su/f/c03da8b6372106604a950047d540ea43"
2026,"$71,485.00",VULTURES 2,FIELD TRIP + TIME MOVING SLOW,"FIELD TRIP (prod. Wes x tay)
TIME MOVING SLOW (prod. Wes x tay)",$250,"Feb 22, 2026","Feb 23, 2026",Normal,Yes,N/A
2026,"$71,485.00",VULTURES 2,SO SOON,2x So Soon (prod. Wes x Tay),$700,"Feb 20, 2026","Feb 21, 2026",Normal,Yes,N/A
2026,"$71,485.00",Donda 2,River (Donda 2),River (ref. Rhymefest + Stems),$200,"Feb 18, 2026","Feb 18, 2026",Charity,Yes,N/A
2026,"$71,485.00",Donda 2,John Cunningham Donda 2 Folder,John Cunningham Donda 2 Folder (~130GB of content) [Files were removed],"$2,000","Feb 16, 2026","Feb 18, 2026",Blind,Forceleaked,N/A
2026,"$71,485.00",Donda 2,John Cunningham Donda 2 Folder,John Cunningham Donda 2 Folder (~130GB of content),"$5,000","Feb 15, 2026","Feb 16, 2026",Blind,Reworked,N/A
